GEOID,YEAR,Income,Rent as % of Income,HHs
13089020100,2014,"Less than $10,000",Less than 20.0 percent,0
13089020100,2014,"Less than $10,000",20.0 to 24.9 percent,0
13089020100,2014,"Less than $10,000",25.0 to 29.9 percent,0
13089020100,2014,"Less than $10,000",30.0 to 34.9 percent,0
13089020100,2014,"Less than $10,000",35.0 to 39.9 percent,0
13089020100,2014,"Less than $10,000",40.0 to 49.9 percent,0
13089020100,2014,"Less than $10,000",50.0 percent or more,0
13089020100,2014,"$10,000 to $19,999",Less than 20.0 percent,0
13089020100,2014,"$10,000 to $19,999",20.0 to 24.9 percent,0
13089020100,2014,"$10,000 to $19,999",25.0 to 29.9 percent,0
13089020100,2014,"$10,000 to $19,999",30.0 to 34.9 percent,0
13089020100,2014,"$10,000 to $19,999",35.0 to 39.9 percent,0
13089020100,2014,"$10,000 to $19,999",40.0 to 49.9 percent,0
13089020100,2014,"$10,000 to $19,999",50.0 percent or more,0
13089020100,2014,"$20,000 to $34,999",Less than 20.0 percent,0
13089020100,2014,"$20,000 to $34,999",20.0 to 24.9 percent,0
13089020100,2014,"$20,000 to $34,999",25.0 to 29.9 percent,0
13089020100,2014,"$20,000 to $34,999",30.0 to 34.9 percent,0
13089020100,2014,"$20,000 to $34,999",35.0 to 39.9 percent,0
13089020100,2014,"$20,000 to $34,999",40.0 to 49.9 percent,6
13089020100,2014,"$20,000 to $34,999",50.0 percent or more,0
13089020100,2014,"$35,000 to $49,999",Less than 20.0 percent,0
13089020100,2014,"$35,000 to $49,999",20.0 to 24.9 percent,26
13089020100,2014,"$35,000 to $49,999",25.0 to 29.9 percent,0
13089020100,2014,"$35,000 to $49,999",30.0 to 34.9 percent,0
13089020100,2014,"$35,000 to $49,999",35.0 to 39.9 percent,7
13089020100,2014,"$35,000 to $49,999",40.0 to 49.9 percent,0
13089020100,2014,"$35,000 to $49,999",50.0 percent or more,14
13089020100,2014,"$50,000 to $74,999",Less than 20.0 percent,0
13089020100,2014,"$50,000 to $74,999",20.0 to 24.9 percent,0
13089020100,2014,"$50,000 to $74,999",25.0 to 29.9 percent,15
13089020100,2014,"$50,000 to $74,999",30.0 to 34.9 percent,7
13089020100,2014,"$50,000 to $74,999",35.0 to 39.9 percent,52
13089020100,2014,"$50,000 to $74,999",40.0 to 49.9 percent,7
13089020100,2014,"$50,000 to $74,999",50.0 percent or more,0
13089020100,2014,"$75,000 to $99,999",Less than 20.0 percent,0
13089020100,2014,"$75,000 to $99,999",20.0 to 24.9 percent,0
13089020100,2014,"$75,000 to $99,999",25.0 to 29.9 percent,0
13089020100,2014,"$75,000 to $99,999",30.0 to 34.9 percent,0
13089020100,2014,"$75,000 to $99,999",35.0 to 39.9 percent,0
13089020100,2014,"$75,000 to $99,999",40.0 to 49.9 percent,0
13089020100,2014,"$75,000 to $99,999",50.0 percent or more,0
13089020100,2014,"$100,000 or more",Less than 20.0 percent,33
13089020100,2014,"$100,000 or more",20.0 to 24.9 percent,0
13089020100,2014,"$100,000 or more",25.0 to 29.9 percent,0
13089020100,2014,"$100,000 or more",30.0 to 34.9 percent,0
13089020100,2014,"$100,000 or more",35.0 to 39.9 percent,0
13089020100,2014,"$100,000 or more",40.0 to 49.9 percent,0
13089020100,2014,"$100,000 or more",50.0 percent or more,0
13089020100,2015,"Less than $10,000",Less than 20.0 percent,0
13089020100,2015,"Less than $10,000",20.0 to 24.9 percent,0
13089020100,2015,"Less than $10,000",25.0 to 29.9 percent,0
13089020100,2015,"Less than $10,000",30.0 to 34.9 percent,0
13089020100,2015,"Less than $10,000",35.0 to 39.9 percent,0
13089020100,2015,"Less than $10,000",40.0 to 49.9 percent,0
13089020100,2015,"Less than $10,000",50.0 percent or more,0
13089020100,2015,"$10,000 to $19,999",Less than 20.0 percent,0
