GEOID,YEAR,IncomeG,RentG,HHs
13089020100,2014,High Income,High Burden,0
13089020100,2014,High Income,Low Burden,33
13089020100,2014,High Income,Med Burden,0
13089020100,2014,Low Income,High Burden,0
13089020100,2014,Low Income,Low Burden,0
13089020100,2014,Low Income,Med Burden,6
13089020100,2014,Med Income,High Burden,14
13089020100,2014,Med Income,Low Burden,41
13089020100,2014,Med Income,Med Burden,73
13089020100,2015,High Income,High Burden,0
13089020100,2015,High Income,Low Burden,40
13089020100,2015,High Income,Med Burden,6
13089020100,2015,Low Income,High Burden,0
13089020100,2015,Low Income,Low Burden,0
13089020100,2015,Low Income,Med Burden,5
13089020100,2015,Med Income,High Burden,6
13089020100,2015,Med Income,Low Burden,16
13089020100,2015,Med Income,Med Burden,64
13089020100,2016,High Income,High Burden,0
13089020100,2016,High Income,Low Burden,78
13089020100,2016,High Income,Med Burden,7
13089020100,2016,Low Income,High Burden,17
13089020100,2016,Low Income,Low Burden,0
13089020100,2016,Low Income,Med Burden,5
13089020100,2016,Med Income,High Burden,0
13089020100,2016,Med Income,Low Burden,26
13089020100,2016,Med Income,Med Burden,64
13089020100,2017,High Income,High Burden,0
13089020100,2017,High Income,Low Burden,84
13089020100,2017,High Income,Med Burden,34
13089020100,2017,Low Income,High Burden,21
13089020100,2017,Low Income,Low Burden,0
13089020100,2017,Low Income,Med Burden,4
13089020100,2017,Med Income,High Burden,0
13089020100,2017,Med Income,Low Burden,18
13089020100,2017,Med Income,Med Burden,11
13089020200,2014,High Income,High Burden,0
13089020200,2014,High Income,Low Burden,155
13089020200,2014,High Income,Med Burden,0
13089020200,2014,Low Income,High Burden,75
13089020200,2014,Low Income,Low Burden,48
13089020200,2014,Low Income,Med Burden,38
13089020200,2014,Med Income,High Burden,0
13089020200,2014,Med Income,Low Burden,116
13089020200,2014,Med Income,Med Burden,22
13089020200,2015,High Income,High Burden,0
13089020200,2015,High Income,Low Burden,158
13089020200,2015,High Income,Med Burden,0
13089020200,2015,Low Income,High Burden,80
13089020200,2015,Low Income,Low Burden,42
13089020200,2015,Low Income,Med Burden,35
13089020200,2015,Med Income,High Burden,0
13089020200,2015,Med Income,Low Burden,109
13089020200,2015,Med Income,Med Burden,23
13089020200,2016,High Income,High Burden,0
13089020200,2016,High Income,Low Burden,144
13089020200,2016,High Income,Med Burden,0
13089020200,2016,Low Income,High Burden,63
13089020200,2016,Low Income,Low Burden,29
13089020200,2016,Low Income,Med Burden,36
13089020200,2016,Med Income,High Burden,0
13089020200,2016,Med Income,Low Burden,126
13089020200,2016,Med Income,Med Burden,13
13089020200,2017,High Income,High Burden,0
13089020200,2017,High Income,Low Burden,129
13089020200,2017,High Income,Med Burden,0
13089020200,2017,Low Income,High Burden,44
13089020200,2017,Low Income,Low Burden,8
13089020200,2017,Low Income,Med Burden,34
13089020200,2017,Med Income,High Burden,0
13089020200,2017,Med Income,Low Burden,171
13089020200,2017,Med Income,Med Burden,8
13089020300,2014,High Income,High Burden,0
13089020300,2014,High Income,Low Burden,186
13089020300,2014,High Income,Med Burden,0
13089020300,2014,Low Income,High Burden,25
13089020300,2014,Low Income,Low Burden,0
13089020300,2014,Low Income,Med Burden,37
13089020300,2014,Med Income,High Burden,6
13089020300,2014,Med Income,Low Burden,115
13089020300,2014,Med Income,Med Burden,113
13089020300,2015,High Income,High Burden,0
13089020300,2015,High Income,Low Burden,173
13089020300,2015,High Income,Med Burden,19
13089020300,2015,Low Income,High Burden,46
13089020300,2015,Low Income,Low Burden,26
13089020300,2015,Low Income,Med Burden,43
13089020300,2015,Med Income,High Burden,6
13089020300,2015,Med Income,Low Burden,102
13089020300,2015,Med Income,Med Burden,91
13089020300,2016,High Income,High Burden,0
13089020300,2016,High Income,Low Burden,160
13089020300,2016,High Income,Med Burden,19
13089020300,2016,Low Income,High Burden,31
13089020300,2016,Low Income,Low Burden,24
13089020300,2016,Low Income,Med Burden,10
13089020300,2016,Med Income,High Burden,14
13089020300,2016,Med Income,Low Burden,108
13089020300,2016,Med Income,Med Burden,91
13089020300,2017,High Income,High Burden,0
13089020300,2017,High Income,Low Burden,156
13089020300,2017,High Income,Med Burden,20
13089020300,2017,Low Income,High Burden,33
13089020300,2017,Low Income,Low Burden,26
13089020300,2017,Low Income,Med Burden,8
13089020300,2017,Med Income,High Burden,15
13089020300,2017,Med Income,Low Burden,99
13089020300,2017,Med Income,Med Burden,88
13089020400,2014,High Income,High Burden,0
13089020400,2014,High Income,Low Burden,145
13089020400,2014,High Income,Med Burden,0
13089020400,2014,Low Income,High Burden,82
13089020400,2014,Low Income,Low Burden,8
13089020400,2014,Low Income,Med Burden,38
13089020400,2014,Med Income,High Burden,0
13089020400,2014,Med Income,Low Burden,187
13089020400,2014,Med Income,Med Burden,14
13089020400,2015,High Income,High Burden,0
13089020400,2015,High Income,Low Burden,130
13089020400,2015,High Income,Med Burden,0
13089020400,2015,Low Income,High Burden,72
13089020400,2015,Low Income,Low Burden,7
13089020400,2015,Low Income,Med Burden,28
13089020400,2015,Med Income,High Burden,0
13089020400,2015,Med Income,Low Burden,222
13089020400,2015,Med Income,Med Burden,15
13089020400,2016,High Income,High Burden,0
13089020400,2016,High Income,Low Burden,164
13089020400,2016,High Income,Med Burden,0
13089020400,2016,Low Income,High Burden,49
13089020400,2016,Low Income,Low Burden,8
13089020400,2016,Low Income,Med Burden,64
13089020400,2016,Med Income,High Burden,0
13089020400,2016,Med Income,Low Burden,215
13089020400,2016,Med Income,Med Burden,25
13089020400,2017,High Income,High Burden,0
13089020400,2017,High Income,Low Burden,146
13089020400,2017,High Income,Med Burden,0
13089020400,2017,Low Income,High Burden,45
13089020400,2017,Low Income,Low Burden,10
13089020400,2017,Low Income,Med Burden,59
13089020400,2017,Med Income,High Burden,0
13089020400,2017,Med Income,Low Burden,233
13089020400,2017,Med Income,Med Burden,24
13089020500,2014,High Income,High Burden,0
13089020500,2014,High Income,Low Burden,76
13089020500,2014,High Income,Med Burden,0
13089020500,2014,Low Income,High Burden,146
13089020500,2014,Low Income,Low Burden,97
13089020500,2014,Low Income,Med Burden,111
13089020500,2014,Med Income,High Burden,0
13089020500,2014,Med Income,Low Burden,199
13089020500,2014,Med Income,Med Burden,37
13089020500,2015,High Income,High Burden,0
13089020500,2015,High Income,Low Burden,49
13089020500,2015,High Income,Med Burden,0
13089020500,2015,Low Income,High Burden,194
13089020500,2015,Low Income,Low Burden,85
13089020500,2015,Low Income,Med Burden,120
13089020500,2015,Med Income,High Burden,0
13089020500,2015,Med Income,Low Burden,193
13089020500,2015,Med Income,Med Burden,33
13089020500,2016,High Income,High Burden,0
13089020500,2016,High Income,Low Burden,93
13089020500,2016,High Income,Med Burden,0
13089020500,2016,Low Income,High Burden,207
13089020500,2016,Low Income,Low Burden,133
13089020500,2016,Low Income,Med Burden,116
13089020500,2016,Med Income,High Burden,0
13089020500,2016,Med Income,Low Burden,138
13089020500,2016,Med Income,Med Burden,36
13089020500,2017,High Income,High Burden,0
13089020500,2017,High Income,Low Burden,149
13089020500,2017,High Income,Med Burden,0
13089020500,2017,Low Income,High Burden,150
13089020500,2017,Low Income,Low Burden,99
13089020500,2017,Low Income,Med Burden,84
13089020500,2017,Med Income,High Burden,0
13089020500,2017,Med Income,Low Burden,110
13089020500,2017,Med Income,Med Burden,42
13089020600,2014,High Income,High Burden,0
13089020600,2014,High Income,Low Burden,48
13089020600,2014,High Income,Med Burden,0
13089020600,2014,Low Income,High Burden,173
13089020600,2014,Low Income,Low Burden,8
13089020600,2014,Low Income,Med Burden,132
13089020600,2014,Med Income,High Burden,0
13089020600,2014,Med Income,Low Burden,63
13089020600,2014,Med Income,Med Burden,73
13089020600,2015,High Income,High Burden,0
13089020600,2015,High Income,Low Burden,80
13089020600,2015,High Income,Med Burden,0
13089020600,2015,Low Income,High Burden,169
13089020600,2015,Low Income,Low Burden,3
13089020600,2015,Low Income,Med Burden,141
13089020600,2015,Med Income,High Burden,0
13089020600,2015,Med Income,Low Burden,81
13089020600,2015,Med Income,Med Burden,62
13089020600,2016,High Income,High Burden,0
13089020600,2016,High Income,Low Burden,124
13089020600,2016,High Income,Med Burden,0
13089020600,2016,Low Income,High Burden,246
13089020600,2016,Low Income,Low Burden,7
13089020600,2016,Low Income,Med Burden,136
13089020600,2016,Med Income,High Burden,0
13089020600,2016,Med Income,Low Burden,73
13089020600,2016,Med Income,Med Burden,72
13089020600,2017,High Income,High Burden,0
13089020600,2017,High Income,Low Burden,116
13089020600,2017,High Income,Med Burden,0
13089020600,2017,Low Income,High Burden,239
13089020600,2017,Low Income,Low Burden,8
13089020600,2017,Low Income,Med Burden,101
13089020600,2017,Med Income,High Burden,0
13089020600,2017,Med Income,Low Burden,32
13089020600,2017,Med Income,Med Burden,51
13089020700,2014,High Income,High Burden,0
13089020700,2014,High Income,Low Burden,47
13089020700,2014,High Income,Med Burden,0
13089020700,2014,Low Income,High Burden,90
13089020700,2014,Low Income,Low Burden,27
13089020700,2014,Low Income,Med Burden,75
13089020700,2014,Med Income,High Burden,0
13089020700,2014,Med Income,Low Burden,81
13089020700,2014,Med Income,Med Burden,23
13089020700,2015,High Income,High Burden,0
13089020700,2015,High Income,Low Burden,56
13089020700,2015,High Income,Med Burden,0
13089020700,2015,Low Income,High Burden,106
13089020700,2015,Low Income,Low Burden,24
13089020700,2015,Low Income,Med Burden,78
13089020700,2015,Med Income,High Burden,0
13089020700,2015,Med Income,Low Burden,80
13089020700,2015,Med Income,Med Burden,28
13089020700,2016,High Income,High Burden,0
13089020700,2016,High Income,Low Burden,48
13089020700,2016,High Income,Med Burden,4
13089020700,2016,Low Income,High Burden,124
13089020700,2016,Low Income,Low Burden,26
13089020700,2016,Low Income,Med Burden,78
13089020700,2016,Med Income,High Burden,0
13089020700,2016,Med Income,Low Burden,101
13089020700,2016,Med Income,Med Burden,0
