GEOID,YEAR,RentG,IncomeG,HHs
13013180103,2014,HighBurden,HighIncome,0
13013180103,2014,HighBurden,LowIncome,0
13013180103,2014,HighBurden,MedIncome,0
13013180103,2014,LowBurden,HighIncome,38
13013180103,2014,LowBurden,LowIncome,0
13013180103,2014,LowBurden,MedIncome,45
13013180103,2014,MedBurden,HighIncome,0
13013180103,2014,MedBurden,LowIncome,0
13013180103,2014,MedBurden,MedIncome,26
13013180103,2015,HighBurden,HighIncome,0
13013180103,2015,HighBurden,LowIncome,0
13013180103,2015,HighBurden,MedIncome,0
13013180103,2015,LowBurden,HighIncome,100
13013180103,2015,LowBurden,LowIncome,0
13013180103,2015,LowBurden,MedIncome,30
13013180103,2015,MedBurden,HighIncome,0
13013180103,2015,MedBurden,LowIncome,0
13013180103,2015,MedBurden,MedIncome,27
13013180103,2016,HighBurden,HighIncome,0
13013180103,2016,HighBurden,LowIncome,0
13013180103,2016,HighBurden,MedIncome,0
13013180103,2016,LowBurden,HighIncome,71
13013180103,2016,LowBurden,LowIncome,0
13013180103,2016,LowBurden,MedIncome,40
13013180103,2016,MedBurden,HighIncome,0
13013180103,2016,MedBurden,LowIncome,32
13013180103,2016,MedBurden,MedIncome,19
13013180103,2017,HighBurden,HighIncome,0
13013180103,2017,HighBurden,LowIncome,33
13013180103,2017,HighBurden,MedIncome,0
13013180103,2017,LowBurden,HighIncome,63
13013180103,2017,LowBurden,LowIncome,0
13013180103,2017,LowBurden,MedIncome,34
13013180103,2017,MedBurden,HighIncome,0
13013180103,2017,MedBurden,LowIncome,74
13013180103,2017,MedBurden,MedIncome,15
13013180104,2014,HighBurden,HighIncome,0
13013180104,2014,HighBurden,LowIncome,23
13013180104,2014,HighBurden,MedIncome,0
13013180104,2014,LowBurden,HighIncome,21
13013180104,2014,LowBurden,LowIncome,4
13013180104,2014,LowBurden,MedIncome,30
13013180104,2014,MedBurden,HighIncome,0
13013180104,2014,MedBurden,LowIncome,32
13013180104,2014,MedBurden,MedIncome,6
13013180104,2015,HighBurden,HighIncome,0
13013180104,2015,HighBurden,LowIncome,45
13013180104,2015,HighBurden,MedIncome,0
13013180104,2015,LowBurden,HighIncome,21
13013180104,2015,LowBurden,LowIncome,6
13013180104,2015,LowBurden,MedIncome,31
13013180104,2015,MedBurden,HighIncome,0
13013180104,2015,MedBurden,LowIncome,40
13013180104,2015,MedBurden,MedIncome,8
13013180104,2016,HighBurden,HighIncome,0
13013180104,2016,HighBurden,LowIncome,61
13013180104,2016,HighBurden,MedIncome,0
13013180104,2016,LowBurden,HighIncome,21
13013180104,2016,LowBurden,LowIncome,11
13013180104,2016,LowBurden,MedIncome,26
13013180104,2016,MedBurden,HighIncome,0
13013180104,2016,MedBurden,LowIncome,68
13013180104,2016,MedBurden,MedIncome,5
13013180104,2017,HighBurden,HighIncome,0
13013180104,2017,HighBurden,LowIncome,44
13013180104,2017,HighBurden,MedIncome,0
13013180104,2017,LowBurden,HighIncome,25
13013180104,2017,LowBurden,LowIncome,14
13013180104,2017,LowBurden,MedIncome,24
13013180104,2017,MedBurden,HighIncome,0
13013180104,2017,MedBurden,LowIncome,54
13013180104,2017,MedBurden,MedIncome,0
13013180105,2014,HighBurden,HighIncome,0
13013180105,2014,HighBurden,LowIncome,4
13013180105,2014,HighBurden,MedIncome,0
13013180105,2014,LowBurden,HighIncome,10
13013180105,2014,LowBurden,LowIncome,0
13013180105,2014,LowBurden,MedIncome,17
13013180105,2014,MedBurden,HighIncome,0
13013180105,2014,MedBurden,LowIncome,25
13013180105,2014,MedBurden,MedIncome,5
13013180105,2015,HighBurden,HighIncome,0
13013180105,2015,HighBurden,LowIncome,6
13013180105,2015,HighBurden,MedIncome,0
13013180105,2015,LowBurden,HighIncome,9
13013180105,2015,LowBurden,LowIncome,0
13013180105,2015,LowBurden,MedIncome,25
13013180105,2015,MedBurden,HighIncome,0
13013180105,2015,MedBurden,LowIncome,22
13013180105,2015,MedBurden,MedIncome,7
13013180105,2016,HighBurden,HighIncome,0
13013180105,2016,HighBurden,LowIncome,14
13013180105,2016,HighBurden,MedIncome,0
13013180105,2016,LowBurden,HighIncome,20
13013180105,2016,LowBurden,LowIncome,0
13013180105,2016,LowBurden,MedIncome,33
13013180105,2016,MedBurden,HighIncome,0
13013180105,2016,MedBurden,LowIncome,26
13013180105,2016,MedBurden,MedIncome,9
13013180105,2017,HighBurden,HighIncome,0
13013180105,2017,HighBurden,LowIncome,17
13013180105,2017,HighBurden,MedIncome,0
13013180105,2017,LowBurden,HighIncome,19
13013180105,2017,LowBurden,LowIncome,0
13013180105,2017,LowBurden,MedIncome,16
13013180105,2017,MedBurden,HighIncome,0
13013180105,2017,MedBurden,LowIncome,22
13013180105,2017,MedBurden,MedIncome,8
13013180106,2014,HighBurden,HighIncome,0
13013180106,2014,HighBurden,LowIncome,70
13013180106,2014,HighBurden,MedIncome,0
13013180106,2014,LowBurden,HighIncome,18
13013180106,2014,LowBurden,LowIncome,9
13013180106,2014,LowBurden,MedIncome,18
13013180106,2014,MedBurden,HighIncome,0
13013180106,2014,MedBurden,LowIncome,18
13013180106,2014,MedBurden,MedIncome,0
13013180106,2015,HighBurden,HighIncome,0
13013180106,2015,HighBurden,LowIncome,58
13013180106,2015,HighBurden,MedIncome,0
13013180106,2015,LowBurden,HighIncome,61
13013180106,2015,LowBurden,LowIncome,39
13013180106,2015,LowBurden,MedIncome,62
13013180106,2015,MedBurden,HighIncome,0
13013180106,2015,MedBurden,LowIncome,23
13013180106,2015,MedBurden,MedIncome,0
13013180106,2016,HighBurden,HighIncome,0
13013180106,2016,HighBurden,LowIncome,75
13013180106,2016,HighBurden,MedIncome,0
13013180106,2016,LowBurden,HighIncome,72
13013180106,2016,LowBurden,LowIncome,24
13013180106,2016,LowBurden,MedIncome,46
13013180106,2016,MedBurden,HighIncome,0
13013180106,2016,MedBurden,LowIncome,26
13013180106,2016,MedBurden,MedIncome,0
13013180106,2017,HighBurden,HighIncome,0
13013180106,2017,HighBurden,LowIncome,65
13013180106,2017,HighBurden,MedIncome,0
13013180106,2017,LowBurden,HighIncome,49
13013180106,2017,LowBurden,LowIncome,19
13013180106,2017,LowBurden,MedIncome,64
13013180106,2017,MedBurden,HighIncome,0
13013180106,2017,MedBurden,LowIncome,69
13013180106,2017,MedBurden,MedIncome,21
13013180107,2014,HighBurden,HighIncome,0
13013180107,2014,HighBurden,LowIncome,156
13013180107,2014,HighBurden,MedIncome,0
13013180107,2014,LowBurden,HighIncome,20
13013180107,2014,LowBurden,LowIncome,0
13013180107,2014,LowBurden,MedIncome,166
13013180107,2014,MedBurden,HighIncome,0
13013180107,2014,MedBurden,LowIncome,78
13013180107,2014,MedBurden,MedIncome,2
13013180107,2015,HighBurden,HighIncome,0
13013180107,2015,HighBurden,LowIncome,88
13013180107,2015,HighBurden,MedIncome,0
13013180107,2015,LowBurden,HighIncome,19
13013180107,2015,LowBurden,LowIncome,0
13013180107,2015,LowBurden,MedIncome,136
13013180107,2015,MedBurden,HighIncome,0
13013180107,2015,MedBurden,LowIncome,103
13013180107,2015,MedBurden,MedIncome,9
13013180107,2016,HighBurden,HighIncome,0
13013180107,2016,HighBurden,LowIncome,111
13013180107,2016,HighBurden,MedIncome,0
13013180107,2016,LowBurden,HighIncome,21
13013180107,2016,LowBurden,LowIncome,0
13013180107,2016,LowBurden,MedIncome,203
13013180107,2016,MedBurden,HighIncome,0
13013180107,2016,MedBurden,LowIncome,84
13013180107,2016,MedBurden,MedIncome,12
13013180107,2017,HighBurden,HighIncome,0
13013180107,2017,HighBurden,LowIncome,77
13013180107,2017,HighBurden,MedIncome,0
13013180107,2017,LowBurden,HighIncome,79
13013180107,2017,LowBurden,LowIncome,0
13013180107,2017,LowBurden,MedIncome,161
13013180107,2017,MedBurden,HighIncome,0
13013180107,2017,MedBurden,LowIncome,64
13013180107,2017,MedBurden,MedIncome,19
13013180108,2014,HighBurden,HighIncome,0
13013180108,2014,HighBurden,LowIncome,46
13013180108,2014,HighBurden,MedIncome,0
13013180108,2014,LowBurden,HighIncome,72
13013180108,2014,LowBurden,LowIncome,0
13013180108,2014,LowBurden,MedIncome,80
13013180108,2014,MedBurden,HighIncome,2
13013180108,2014,MedBurden,LowIncome,13
13013180108,2014,MedBurden,MedIncome,0
13013180108,2015,HighBurden,HighIncome,0
13013180108,2015,HighBurden,LowIncome,27
13013180108,2015,HighBurden,MedIncome,0
13013180108,2015,LowBurden,HighIncome,74
13013180108,2015,LowBurden,LowIncome,15
13013180108,2015,LowBurden,MedIncome,94
13013180108,2015,MedBurden,HighIncome,1
13013180108,2015,MedBurden,LowIncome,14
13013180108,2015,MedBurden,MedIncome,10
13013180108,2016,HighBurden,HighIncome,0
13013180108,2016,HighBurden,LowIncome,18
13013180108,2016,HighBurden,MedIncome,0
13013180108,2016,LowBurden,HighIncome,75
13013180108,2016,LowBurden,LowIncome,18
13013180108,2016,LowBurden,MedIncome,71
13013180108,2016,MedBurden,HighIncome,0
13013180108,2016,MedBurden,LowIncome,13
13013180108,2016,MedBurden,MedIncome,13
13013180108,2017,HighBurden,HighIncome,0
13013180108,2017,HighBurden,LowIncome,26
13013180108,2017,HighBurden,MedIncome,0
13013180108,2017,LowBurden,HighIncome,58
13013180108,2017,LowBurden,LowIncome,13
13013180108,2017,LowBurden,MedIncome,72
13013180108,2017,MedBurden,HighIncome,0
13013180108,2017,MedBurden,LowIncome,11
13013180108,2017,MedBurden,MedIncome,12
13013180203,2014,HighBurden,HighIncome,0
13013180203,2014,HighBurden,LowIncome,58
13013180203,2014,HighBurden,MedIncome,0
13013180203,2014,LowBurden,HighIncome,114
13013180203,2014,LowBurden,LowIncome,67
13013180203,2014,LowBurden,MedIncome,168
13013180203,2014,MedBurden,HighIncome,0
13013180203,2014,MedBurden,LowIncome,157
13013180203,2014,MedBurden,MedIncome,29
13013180203,2015,HighBurden,HighIncome,0
13013180203,2015,HighBurden,LowIncome,104
13013180203,2015,HighBurden,MedIncome,0
13013180203,2015,LowBurden,HighIncome,115
13013180203,2015,LowBurden,LowIncome,81
13013180203,2015,LowBurden,MedIncome,148
13013180203,2015,MedBurden,HighIncome,0
13013180203,2015,MedBurden,LowIncome,98
13013180203,2015,MedBurden,MedIncome,28
13013180203,2016,HighBurden,HighIncome,0
13013180203,2016,HighBurden,LowIncome,87
13013180203,2016,HighBurden,MedIncome,0
