% Occupied,% Reported,% Extremely Low Income,% Female Head,% in poverty (Census tract),% minority (Census tract),% Very Low Income,% with disability among Head Spouse Co-head aged 61 years or less,% with disability among Head Spouse Co-head aged 62 years or older,0-1 BedroomUnits,Active Subsidies,City,CountyID,Earliest Start Date,FHA Loan Sub Program Units,FHA Loan Units,FairMarketRent 2BR,GEOID (census dataset 201910121110.csv),GEOID (hud dataset 201910121111.csv),GEOID (nhpd dataset 201910121111.csv),Geoid,HOME Grants,HUD Property ID,Household income per year,Latitude,Longitude,Low Income Housing Tax Credit sub-program,Low Income Housing Tax Credit,Median Income HH,NHPD Property ID,Number of Records,Occupancy Rate,Owner Type,Percent of ELI Households,Property Address,Property Name,Property Status,Rent Burdened H Hs,Rural Rental Housing,Section 8 Housing Units,StateID,State,Subsidized units available,Supportive Housing Elderly,Target Tenant Type,Three Plus Bedroom Units,Total Units,Total Low Income H Hs,TractID,TractName,Two Bedroom Units,Zip
78,93,72,71,21,65,96,33,52,70,2,Atlanta,89,1/1/06,,,1090,13089020500,13089020500,13089020500,13089020500,135,800227103,14503,33.7526586,-84.3416193,,135,55208,1038032,1,,Multiple,,1281 Caroline St NE,COLUMBIA SENIOR RESIDENCES AT EDGEWOOD,Active,642,,,13,GA,228,,,,135,432,20500,Census Tract 205,66,30307-2787
78,93,72,71,21,65,96,33,52,0,3,Atlanta,89,1/1/02,,,1090,13089020500,13089020500,13089020500,13089020500,,,14503,33.7526586,-84.3416193,0,82,55208,1103712,1,,,,165 Marion Pl NE,Columnia Citihomes,Active,642,,,13,GA,228,,,38,154,432,20500,Census Tract 205,114,30307-2747
78,93,72,71,21,65,96,33,52,,1,Atlanta,89,1/1/94,,,1090,13089020500,13089020500,13089020500,13089020500,,,14503,33.7526586,-84.3416193,,100,55208,1038250,1,,Non-Profit,,97 Sanderson St NE,OAKLAND COURT APARTMENTS,Active,642,,,13,GA,228,,,,100,432,20500,Census Tract 205,,30307
88,90,84,85,32,67,98,12,46,30,1,Atlanta,89,1/1/12,,,1310,13089020600,13089020600,13089020600,13089020600,,,11359,33.7576172,-84.3356822,,40,43295,1039554,1,,,,37 Hutchinson St NE,COLUMBIA TOWNHOMES AT EDGEWOOD II,Active,524,,,13,GA,257,,,10,40,402,20600,Census Tract 206,,30307
88,90,84,85,32,67,98,12,46,0,1,Atlanta,89,1/1/11,,,1310,13089020600,13089020600,13089020600,13089020600,,,11359,33.7576172,-84.3356822,,100,43295,1130506,1,,,,150 Hutchinson St NE,COLUMBIA TOWNHOMES AT EDGEWOOD,Active,524,,,13,GA,257,,,0,100,402,20600,Census Tract 206,0,30307
88,90,84,85,32,67,98,12,46,24,1,Atlanta,89,3/1/82,,,1310,13089020600,13089020600,13089020600,13089020600,,800004738,11359,33.7576172,-84.3356822,,,43295,1037901,1,90,Profit Motivated,90,1572 Hardee St NE,EDGEWOOD COURT APARTMENTS,Active,524,,204,13,GA,257,,Family,116,204,402,20600,Census Tract 206,64,30307-2871
85,97,86,57,17,60,95,81,69,16,2,Atlanta,89,1/1/05,,,1090,13089020700,13089020700,13089020700,13089020700,34,,11627,33.753896,-84.3249841,,34,53833,1038640,1,,For Profit,,1929 Hosea L Williams Dr SE,KIRKWOOD GARDENS,Active,351,,,13,GA,45,,,,43,278,20700,Census Tract 207,27,30317-2264
85,97,86,57,17,60,95,81,69,20,3,Atlanta,89,1/1/96,,,1090,13089020700,13089020700,13089020700,13089020700,,800079042,11627,33.753896,-84.3249841,40,40,53833,1037815,1,94,Multiple,95,265 Kirkwood Rd NE,PRESLEY WOODS APARTMENTS (AKA KIRKWOOD),Active,351,,20,13,GA,45,,Family,0,40,278,20700,Census Tract 207,0,30317-1117
95,100,71,54,21,69,92,42,70,,1,Atlanta,89,9/30/71,,,1090,13089020802,13089020802,13089020802,13089020802,,,16067,33.7469348,-84.3020707,,,57204,1038260,1,99,Public Entity,88,380 E Lake Blvd SE,EAST LAKE HIGHRISE,Active,735,,,13,GA,366,,,0,149,562,20802,Census Tract 208.02,0,30317-3154
95,100,71,54,21,69,92,42,70,,1,Atlanta,89,2/28/01,,,1090,13089020802,13089020802,13089020802,13089020802,,,16067,33.7469348,-84.3020707,,,57204,1038274,1,93,Public Entity,58,110 Greenhaven Dr SE,VILLAGES OF EASTLAKE II,Active,735,,,13,GA,366,,,,180,562,20802,Census Tract 208.02,,30317-3200
95,100,71,54,21,69,92,42,70,46,3,Atlanta,89,1/1/98,,,1090,13089020802,13089020802,13089020802,13089020802,,,16067,33.7469348,-84.3020707,0,0,57204,1038592,1,,For Profit,,460 E Lake Blvd SE,VILLAGES OF EASTLAKE II,Active,735,,,13,GA,366,,,136,360,562,20802,Census Tract 208.02,178,30317-3151
89,99,83,54,8,59,97,74,9,,2,Atlanta,89,6/2/10,,,1120,13089020900,13089020900,13089020900,13089020900,40,,11252,33.7365045,-84.33689,,,66536,1039206,1,,,,2045 Graham Cir SE,THE SAFETY NET,Active,636,,,13,GA,253,,,,46,469,20900,Census Tract 209,,30316
89,99,83,54,8,59,97,74,9,176,2,Atlanta,89,8/1/74,,176,1120,13089020900,13089020900,13089020900,13089020900,,800004634,11252,33.7365045,-84.33689,,,66536,1037802,1,95,Non-Profit,84,1200 Glenwood Ave SE,BRANAN TOWERS,Active,636,,176,13,GA,253,,Elderly,0,176,469,20900,Census Tract 209,0,30316-1949
98,100,90,51,6,22,99,100,15,209,1,Brookhaven,89,8/1/79,,,1580,13089021102,13089021102,13089021102,13089021102,,800004714,10972,33.8699232,-84.3381563,,,83628,1037861,1,98,Profit Motivated,89,2449 E Club Dr NE,LENOX SUMMIT,Active,564,,212,13,GA,203,,Elderly,0,212,471,21102,Census Tract 211.02,3,30319-3389
96,100,91,55,17,41,100,-1,33,,2,Chamblee,89,10/17/17,,,1230,13089021208,13089021208,13089021208,13089021208,79,,11696,33.9012148,-84.3036716,,,67850,1127404,1,,,,5124 Peachtree Rd,SENIOR RESIDENCES AT MERCY PARK,Active,348,,,13,GA,26,,,,79,291,21208,Census Tract 212.08,,30341-3015
96,100,91,55,17,41,100,-1,33,32,2,Chamblee,89,1/1/07,,,1230,13089021208,13089021208,13089021208,13089021208,3,,11696,33.9012148,-84.3036716,,65,67850,1038057,1,,For Profit,,3381 Malone Dr,CHAMBLEE SENIOR RESIDENCES,Active,348,,,13,GA,26,,,,65,291,21208,Census Tract 212.08,33,30341-2771
96,100,93,66,13,38,99,100,33,,2,Brookhaven,89,1/1/12,,121,1580,13089021209,13089021209,13089021209,13089021209,,800234021,11119,33.8944121,-84.3221253,,121,72317,1038571,1,,,,2282 Johnson Ferry Rd NE,MARKETSIDE AT BROOKLEIGH,Active,1035,,,13,GA,213,,Family,,121,817,21209,Census Tract 212.09,,30319-2297
96,100,93,66,13,38,99,100,33,0,2,Brookhaven,89,1/1/09,,,1580,13089021209,13089021209,13089021209,13089021209,,,11119,33.8944121,-84.3221253,117,0,72317,1039005,1,,For Profit,,3511 Donaldson Dr NE,ASHFORD LANDING SENIOR RESIDENCES,Active,1035,,,13,GA,213,,,0,117,817,21209,Census Tract 212.09,0,30319
96,100,93,66,13,38,99,100,33,37,1,Brookhaven,89,1/1/07,,,1580,13089021209,13089021209,13089021209,13089021209,,,11119,33.8944121,-84.3221253,,132,72317,1038050,1,,For Profit,,3522 Blair Cir NE,ASHFORD PARKSIDE SENIOR RESIDENCES,Active,1035,,,13,GA,213,,,,151,817,21209,Census Tract 212.09,112,30319-7700
96,100,93,66,13,38,99,100,33,,1,Brookhaven,89,1/1/95,,,1580,13089021209,13089021209,13089021209,13089021209,,,11119,33.8944121,-84.3221253,,,72317,1038834,1,,,,3509 Blair Cir NE,PITTSBURGH,Active,1035,,,13,GA,213,,,,7,817,21209,Census Tract 212.09,,30319
-1,-1,-1,-1,-1,-1,-1,-1,-1,,1,Atlanta,89,1/1/96,,,1470,13089021216,13089021216,13089021216,13089021216,,,-1,33.9277496,-84.3271691,,287,84889,1106385,1,,,,1 Ravinia Dr,SHANNON LAKE,Active,1020,,,13,GA,-1,,,,152,902,21216,Census Tract 212.16,,30346
-1,-1,-1,-1,-1,-1,-1,-1,-1,,1,Doraville,89,1/1/98,,,1140,13089021307,13089021307,13089021307,13089021307,,,-1,33.8909907,-84.2742635,,,49468,1038762,1,,,,3374 Aztec Rd,CHESTNUT CREEK APARTMENTS,Active,308,,,13,GA,-1,,,,128,259,21307,Census Tract 213.07,,30340-3277
96,100,94,33,18,76,100,67,100,,1,Atlanta,89,2/6/03,,,1230,13089021308,13089021308,13089021308,13089021308,56,,9434,33.8758205,-84.2857254,,,46496,1038155,1,,,,2198 Dresden Dr,SUPPORTIVE HOUSE INC/DRESDEN ROSALYNN,Active,498,,,13,GA,14,,,,56,496,21308,Census Tract 213.08,,30341-5058
-1,-1,-1,-1,-1,-1,-1,-1,-1,,1,Brookhaven,89,1/1/96,,,1580,13089021412,13089021412,13089021412,13089021412,,,-1,33.8718337,-84.3152253,,,119297,1106837,1,,,,2527 Skyland Dr NE,BRYTON HILL APARTMENTS,Active,92,,,13,GA,-1,,,,204,92,21412,Census Tract 214.12,,30319
-1,-1,-1,-1,-1,-1,-1,-1,-1,16,1,Atlanta,89,10/30/14,,,1540,13089021502,13089021502,13089021502,13089021502,,800241506,-1,33.8172846,-84.3411507,,,69215,1018451,1,,,,60 Executive Park South NE,GEORGIA HOUSING AND FINANCE AGENCY,Active,804,,16,13,GA,-1,,,0,16,633,21502,Census Tract 215.02,0,30329-2296
-1,-1,-1,-1,-1,-1,-1,-1,-1,127,1,Decatur,89,10/1/75,,,1300,13089021504,13089021504,13089021504,13089021504,,800004690,-1,33.8131136,-84.3158996,,,58519,1015060,1,,Non-Profit,,1800 Clairmont Lk,CLAIRMONT OAKS,Active,1011,,127,13,GA,-1,,Elderly,0,298,769,21504,Census Tract 215.04,0,30033-4039
98,98,78,73,10,38,94,-1,-1,125,2,Atlanta,89,5/1/10,,125,1300,13089021603,13089021603,13089021603,13089021603,,800004638,12693,33.828982,-84.3173981,,,58000,1037788,1,98,Non-Profit,78,2982 Briarcliff Rd NE,BRIARCLIFF OAKS APARTMENTS,Active,890,,125,13,GA,121,,Elderly,0,125,745,21603,Census Tract 216.03,0,30329-2585
97,100,100,68,4,16,100,-1,2,68,1,Decatur,89,6/1/19,,,1330,13089021703,13089021703,13089021703,13089021703,,800064645,9218,33.8452032,-84.2757092,,,134712,1037895,1,97,Non-Profit,100,2025 Ludovie Ln,AHEPA ONE APARTMENTS,Active,138,,68,13,GA,65,,Elderly,0,68,95,21703,Census Tract 217.03,0,30033-1024
-4,-4,-4,-4,-4,-4,-4,-4,-4,0,2,Tucker,89,1/1/15,,,1110,13089021809,13089021809,13089021809,13089021809,,,-4,33.8657494,-84.2154512,0,,91528,1104986,1,,,,5181 Lavista Rd,HEARTHSIDE TUCKER,Active,220,,,13,GA,3,,,0,112,220,21809,Census Tract 218.09,0,30084-3602
-4,-4,-4,-4,-4,-4,-4,-4,-4,,1,Tucker,89,1/1/95,,,1110,13089021809,13089021809,13089021809,13089021809,,,-4,33.8657494,-84.2154512,,200,91528,1038304,1,,For Profit,,6169 S Norcross Tucker Rd,GWINNETT STATION,Active,220,,,13,GA,3,,,,180,220,21809,Census Tract 218.09,,30084
-4,-4,-4,-4,-4,-4,-4,-4,-4,68,1,Doraville,89,1/1/05,,,1140,13089021812,13089021812,13089021812,13089021812,,,-4,33.8873525,-84.2373155,,249,63690,1037992,1,,Multiple,,2300 Global Forum Blvd,LONGWOOD VISTA APARTMENTS,Active,167,,,13,GA,4,,,100,276,167,21812,Census Tract 218.12,112,30340-4400
97,100,72,67,23,80,91,22,56,,1,Doraville,89,1/1/98,,,1140,13089021814,13089021814,13089021814,13089021814,,,14785,33.8933025,-84.2393074,,,34887,1038764,1,,,,3469 Morningside Village Ln,MORNINGSIDE APARTMENTS,Active,1094,,,13,GA,62,,,,306,1025,21814,Census Tract 218.14,,30340-5505
97,100,72,67,23,80,91,22,56,10,3,Doraville,89,4/1/98,210,210,1140,13089021814,13089021814,13089021814,13089021814,,800004913,14785,33.8933025,-84.2393074,,,34887,1002279,1,98,Profit Motivated,69,1000 Pleasantdale Xing,PLEASANTDALE CROSSING,Active,1094,,42,13,GA,62,,Family,0,210,1025,21814,Census Tract 218.14,32,30340-4217
96,100,76,82,10,80,98,28,25,0,3,Stone Mountain,89,1/1/15,,,1390,13089021907,13089021907,13089021907,13089021907,25,,13150,33.80594,-84.1476178,0,75,50257,1103547,1,,,,901 Fourth St,THE VIEW AKA MOUNTAINVIEW SENIOR,Active,963,,,13,GA,82,,,0,80,920,21907,Census Tract 219.07,0,30083-3043
95,100,79,71,39,93,97,34,23,48,1,Stone Mountain,89,1/1/04,,,1010,13089021908,13089021908,13089021908,13089021908,,,12702,33.799322,-84.1882997,,280,30985,1038960,1,,For Profit,,1075 N Hairston Rd,MOUNTAIN CREST,Active,1430,,,13,GA,267,,,86,280,1212,21908,Census Tract 219.08,146,30083-5921
95,100,79,71,39,93,97,34,23,170,1,Stone Mountain,89,6/1/14,,,1010,13089021908,13089021908,13089021908,13089021908,,800004879,12702,33.799322,-84.1882997,,,30985,1038070,1,96,Profit Motivated,80,1023 N Hairston Rd,HAIRSTON LAKE APARTMENTS,Active,1430,,170,13,GA,267,,Partially elderly handicapped,0,170,1212,21908,Census Tract 219.08,0,30083-2722
95,100,75,65,30,87,98,34,42,,1,Clarkston,89,1/1/04,,,1010,13089022005,13089022005,13089022005,13089022005,,,12752,33.7912067,-84.233042,,603,32262,1038683,1,,For Profit,,751 N Indian Creek Dr,LAKES AT INDIAN CREEK,Active,952,,,13,GA,104,,,,603,778,22005,Census Tract 220.05,,30021-2357
95,100,75,65,30,87,98,34,42,126,2,Clarkston,89,1/1/03,,,1010,13089022005,13089022005,13089022005,13089022005,,,12752,33.7912067,-84.233042,342,0,32262,1037980,1,,Multiple,,3954 Memorial College Ave,WOODSIDE VILLAGE APARTMENTS,Active,952,,,13,GA,104,,,72,360,778,22005,Census Tract 220.05,162,30021-2406
94,100,79,74,32,96,96,26,64,0,2,Clarkston,89,1/1/04,,,1020,13089022009,13089022009,13089022009,13089022009,,,11666,33.8209358,-84.2350392,356,0,37086,1038679,1,,For Profit,,3629 Montreal Creek Cir,CLARKSTON STATION (WYNCREST APTS),Active,1212,,,13,GA,111,,,0,356,1084,22009,Census Tract 220.09,0,30021-1407
95,100,83,83,24,78,98,16,29,0,1,Scottdale,89,1/1/17,,,860,13089022100,13089022100,13089022100,13089022100,,,11595,33.7906241,-84.2553347,,0,34479,1129996,1,,,,3220 Mills Creek Cir,RETREAT AT MILLS CREEK,Active,624,,,13,GA,299,,,0,80,531,22100,Census Tract 221,0,30079-4509
95,100,83,83,24,78,98,16,29,0,1,Scottdale,89,1/1/16,,,860,13089022100,13089022100,13089022100,13089022100,,,11595,33.7906241,-84.2553347,,0,34479,1103343,1,,,,3175 Mills Creek Cir,MILLS CREEK CROSSING,Active,624,,,13,GA,299,,,0,200,531,22100,Census Tract 221,0,30079-4523
95,100,83,83,24,78,98,16,29,0,3,Scottdale,89,1/1/15,,,860,13089022100,13089022100,13089022100,13089022100,159,,11595,33.7906241,-84.2553347,0,,34479,1104093,1,,,,3218 Tobie Cir,TOBIE GRANT SENIOR,Active,624,,,13,GA,299,,,0,159,531,22100,Census Tract 221,0,30079
